"Medicare Part D Opioid Prescribing Rates from Calendar Year 2016,",,,,,,,,,,,
by ZIP Code,,,,,,,,,,,
,,,,,,,,,,,
,,,Calendar Year 2016,,,,,,,Change in Opioid Prescribing Rates 2013 to 2016,
State Name,State Abbreviation,ZIP Code,Part D Prescribers,Part D Opioid Prescribers,Opioid Claims,Extended Release Opioid Claims,Overall Claims,Opioid Prescribing Rate,Extended Release Opioid Prescribing Rate,Change in Opioid Prescribing Rate,Change in Extended Release Opioid Prescribing Rate 
New Jersey,NJ,07421,4,2,277,0,"12,901",2.15,0.00,-0.43,-10.13
New Jersey,NJ,07423,18,2,85,0,"4,555",1.87,0.00,-0.30,0.00
New Jersey,NJ,07424,93,43,"5,594",147,"195,584",2.86,2.63,-0.15,0.51
New Jersey,NJ,07430,38,14,"1,112",13,"37,917",2.93,1.17,-0.16,-0.03
New Jersey,NJ,07432,63,29,"2,314",85,"82,128",2.82,3.67,-0.12,0.44
New Jersey,NJ,07435,5,1,684,42,"14,213",4.81,6.14,0.87,-1.51
New Jersey,NJ,07436,35,11,920,84,"55,010",1.67,9.13,-0.45,5.19
New Jersey,NJ,07438,9,3,628,24,"12,943",4.85,3.82,-0.42,1.55
New Jersey,NJ,07440,6,2,61,0,"1,884",3.24,0.00,-3.86,0.00
New Jersey,NJ,07442,16,4,"1,081",51,"33,100",3.27,4.72,-0.06,0.74
New Jersey,NJ,07444,80,44,"4,391",568,"77,353",5.68,12.94,1.12,10.31
New Jersey,NJ,07446,63,25,"2,241",163,"75,717",2.96,7.27,-0.69,1.27
New Jersey,NJ,07450,285,86,"5,173",74,"215,253",2.40,1.43,-0.24,0.32
New Jersey,NJ,07452,38,13,507,0,"7,196",7.05,0.00,-1.71,0.00
New Jersey,NJ,07456,12,4,"2,123",79,"28,755",7.38,3.72,-0.14,2.63
New Jersey,NJ,07457,16,3,93,0,"8,218",1.13,0.00,-1.78,0.00
New Jersey,NJ,07458,26,7,559,0,"25,907",2.16,0.00,-0.06,0.00
New Jersey,NJ,07460,1,0,0,0,16,0.00,0.00,0.00,0.00
New Jersey,NJ,07461,12,3,"1,439",136,"21,347",6.74,9.45,-0.04,5.72
New Jersey,NJ,07462,15,6,573,0,"26,704",2.15,0.00,-0.77,-3.17
New Jersey,NJ,07463,27,11,527,0,"14,082",3.74,0.00,0.97,0.00
New Jersey,NJ,07465,1,0,0,0,51,0.00,0.00,0.00,0.00
New Jersey,NJ,07470,352,153,"18,290",877,"518,093",3.53,4.79,-0.60,-0.46
New Jersey,NJ,07480,10,7,189,0,"16,452",1.15,0.00,-0.42,0.00
New Jersey,NJ,07481,50,11,479,0,"34,512",1.39,0.00,-0.15,0.00
New Jersey,NJ,07501,30,12,"1,286",0,"58,649",2.19,0.00,-0.59,-0.88
New Jersey,NJ,07502,7,3,266,0,"13,189",2.02,0.00,-9.84,-3.16
New Jersey,NJ,07503,173,67,"5,468",489,"61,226",8.93,8.94,2.74,3.92
New Jersey,NJ,07504,13,7,"2,178",0,"92,162",2.36,0.00,-0.52,0.00
New Jersey,NJ,07505,37,12,788,19,"49,987",1.58,2.41,0.11,2.41
New Jersey,NJ,07506,40,21,"1,350",11,"55,822",2.42,0.81,0.33,-0.19
New Jersey,NJ,07508,31,12,"1,152",41,"48,450",2.38,3.56,-2.36,2.62
New Jersey,NJ,07512,39,9,459,0,"11,932",3.85,0.00,0.16,0.00
New Jersey,NJ,07513,4,1,33,0,"1,646",2.00,0.00,0.72,0.00
New Jersey,NJ,07514,47,25,"3,171",46,"112,772",2.81,1.45,-1.03,-1.09
New Jersey,NJ,07522,4,2,167,0,906,18.43,0.00,16.53,0.00
New Jersey,NJ,07524,1,1,67,0,"2,061",3.25,0.00,1.80,0.00
New Jersey,NJ,07601,615,264,"21,616","1,742","507,605",4.26,8.06,-0.12,0.82
New Jersey,NJ,07603,4,0,0,0,339,0.00,0.00,0.00,0.00
New Jersey,NJ,07604,27,7,812,25,"35,688",2.28,3.08,-0.28,-3.51
New Jersey,NJ,07605,5,0,0,0,287,0.00,0.00,0.00,0.00
New Jersey,NJ,07607,35,16,558,15,"25,216",2.21,2.69,0.16,2.69
New Jersey,NJ,07608,3,0,0,0,68,0.00,0.00,0.00,0.00
New Jersey,NJ,07620,3,0,0,0,91,0.00,0.00,0.00,0.00
New Jersey,NJ,07621,60,16,"1,119",81,"50,759",2.20,7.24,-0.70,-3.90
New Jersey,NJ,07624,28,6,573,62,"24,926",2.30,10.82,-0.62,-7.17
New Jersey,NJ,07626,23,1,210,0,"13,499",1.56,0.00,-0.08,-15.29
New Jersey,NJ,07627,1,0,0,0,11,0.00,0.00,,
New Jersey,NJ,07628,25,8,193,0,"16,615",1.16,0.00,-0.15,0.00
New Jersey,NJ,07630,89,37,"2,733",79,"137,911",1.98,2.89,-0.27,0.10
New Jersey,NJ,07631,448,201,"15,759",771,"492,128",3.20,4.89,-0.35,1.04
New Jersey,NJ,07632,69,20,"1,227",0,"90,299",1.36,0.00,-0.07,-3.46
New Jersey,NJ,07640,21,13,"1,440",52,"61,933",2.33,3.61,-0.29,-1.23
New Jersey,NJ,07641,12,2,231,0,"12,426",1.86,0.00,-0.68,0.00
New Jersey,NJ,07642,16,3,144,0,"11,575",1.24,0.00,-0.73,0.00
New Jersey,NJ,07643,5,1,61,0,"9,669",0.63,0.00,-0.62,0.00
New Jersey,NJ,07644,25,9,"1,124",12,"33,492",3.36,1.07,-0.15,-0.94
New Jersey,NJ,07645,19,3,184,0,"5,938",3.10,0.00,-0.13,0.00
New Jersey,NJ,07646,19,3,281,0,"6,122",4.59,0.00,2.54,0.00
New Jersey,NJ,07647,8,3,175,11,"5,344",3.27,6.29,0.60,6.29
New Jersey,NJ,07648,7,1,43,0,"3,067",1.40,0.00,1.40,0.00
New Jersey,NJ,07649,60,24,"1,424",54,"38,756",3.67,3.79,-1.07,-1.66
New Jersey,NJ,07650,31,8,682,67,"80,687",0.85,9.82,-0.18,5.69
New Jersey,NJ,07652,309,108,"19,227","1,520","347,380",5.53,7.91,-0.05,2.17
New Jersey,NJ,07656,17,3,289,23,"15,085",1.92,7.96,-0.26,7.96
New Jersey,NJ,07657,25,8,717,60,"18,417",3.89,8.37,0.42,8.37
New Jersey,NJ,07660,15,5,682,0,"27,789",2.45,0.00,-0.86,0.00
New Jersey,NJ,07661,34,6,521,23,"19,785",2.63,4.41,-1.65,-20.01
New Jersey,NJ,07662,27,8,453,28,"44,012",1.03,6.18,-0.78,1.80
New Jersey,NJ,07663,43,17,"1,062",33,"37,132",2.86,3.11,-0.78,-1.71
New Jersey,NJ,07666,280,111,"10,258",509,"297,438",3.45,4.96,-0.60,-1.66
New Jersey,NJ,07670,45,1,16,0,"12,942",0.12,0.00,-0.49,0.00
New Jersey,NJ,07675,124,31,"2,413",130,"85,180",2.83,5.39,0.21,0.95
New Jersey,NJ,07676,6,2,78,0,495,15.76,0.00,-10.29,0.00
New Jersey,NJ,07677,27,6,386,18,"13,378",2.89,4.66,0.44,4.66
New Jersey,NJ,07701,271,108,"12,383",924,"246,074",5.03,7.46,-0.69,1.05
New Jersey,NJ,07702,109,46,"4,172",271,"62,085",6.72,6.50,-4.18,-2.00
New Jersey,NJ,07703,3,2,73,0,"1,427",5.12,0.00,1.68,0.00
New Jersey,NJ,07704,10,4,158,0,"11,588",1.36,0.00,-1.11,0.00
New Jersey,NJ,07711,5,1,67,0,"1,009",6.64,0.00,2.45,0.00
New Jersey,NJ,07712,142,56,"7,744",257,"140,024",5.53,3.32,1.03,-0.07
New Jersey,NJ,07716,9,3,219,0,"17,890",1.22,0.00,-0.78,0.00
New Jersey,NJ,07717,4,3,177,0,"4,886",3.62,0.00,0.50,0.00
New Jersey,NJ,07718,3,0,0,0,126,0.00,0.00,0.00,0.00
New Jersey,NJ,07719,65,23,"3,035",128,"66,300",4.58,4.22,-0.69,0.79
New Jersey,NJ,07720,1,1,29,0,44,65.91,0.00,65.91,0.00
New Jersey,NJ,07721,1,0,0,0,41,0.00,0.00,0.00,0.00
New Jersey,NJ,07722,29,7,740,105,"25,815",2.87,14.19,-0.15,8.00
New Jersey,NJ,07723,2,0,0,0,41,0.00,0.00,0.00,0.00
New Jersey,NJ,07724,168,79,"8,851",680,"229,793",3.85,7.68,-2.31,3.49
New Jersey,NJ,07726,106,35,"3,593",179,"159,798",2.25,4.98,-0.49,-0.43
New Jersey,NJ,07727,8,4,201,0,"10,987",1.83,0.00,-3.00,-4.43
New Jersey,NJ,07728,339,141,"16,419",781,"410,733",4.00,4.76,-0.63,0.34
New Jersey,NJ,07730,62,19,"3,881",243,"77,943",4.98,6.26,-1.68,-1.46
New Jersey,NJ,07731,64,28,"2,590",115,"80,088",3.23,4.44,-0.38,3.94
New Jersey,NJ,07732,2,0,0,0,374,0.00,0.00,0.00,0.00
New Jersey,NJ,07733,141,55,"5,958",355,"157,629",3.78,5.96,-0.53,2.89
New Jersey,NJ,07734,3,2,327,12,"7,778",4.20,3.67,-18.44,-10.43
New Jersey,NJ,07735,3,2,577,101,"2,035",28.35,17.50,2.70,-2.01
New Jersey,NJ,07737,1,0,0,0,12,0.00,0.00,,
New Jersey,NJ,07738,18,5,484,0,"5,536",8.74,0.00,-2.15,0.00
New Jersey,NJ,07739,60,17,"1,696",93,"41,326",4.10,5.48,0.24,1.20
New Jersey,NJ,07740,181,80,"6,474",550,"149,070",4.34,8.50,0.55,2.09
New Jersey,NJ,07746,48,18,"2,943",498,"46,239",6.36,16.92,1.43,12.32
New Jersey,NJ,07747,55,19,"5,383",669,"97,421",5.53,12.43,0.26,4.01
New Jersey,NJ,07748,61,28,"2,691",35,"94,340",2.85,1.30,-1.03,-0.45
New Jersey,NJ,07750,4,1,17,0,"2,299",0.74,0.00,0.11,0.00
New Jersey,NJ,07751,36,16,"1,229",34,"36,464",3.37,2.77,0.51,0.66
New Jersey,NJ,07753,304,133,"11,991",677,"371,333",3.23,5.65,-0.29,3.37
New Jersey,NJ,07755,67,21,"1,984",160,"69,416",2.86,8.06,-0.85,1.68
New Jersey,NJ,07756,8,2,448,14,"19,214",2.33,3.13,-0.66,3.13
New Jersey,NJ,07757,3,0,0,0,45,0.00,0.00,0.00,0.00
New Jersey,NJ,07758,3,1,14,0,"1,987",0.70,0.00,0.70,0.00
New Jersey,NJ,07760,9,1,100,0,"1,672",5.98,0.00,5.28,0.00
New Jersey,NJ,07762,24,3,944,51,"25,024",3.77,5.40,-6.14,-1.29
New Jersey,NJ,07764,67,28,"3,415",284,"103,168",3.31,8.32,-0.17,0.17
New Jersey,NJ,07801,73,34,"3,204",67,"63,474",5.05,2.09,0.12,1.02
New Jersey,NJ,07803,7,4,290,0,"17,124",1.69,0.00,-0.43,0.00
New Jersey,NJ,07821,5,3,763,95,"18,627",4.10,12.45,0.05,7.18
New Jersey,NJ,07823,11,5,812,34,"23,151",3.51,4.19,0.46,-0.70
New Jersey,NJ,07825,9,1,25,0,"1,039",2.41,0.00,-8.07,0.00
New Jersey,NJ,07826,7,5,540,39,"14,715",3.67,7.22,-0.94,3.03
New Jersey,NJ,07827,1,0,0,0,81,0.00,0.00,-23.39,0.00
New Jersey,NJ,07828,13,5,777,59,"10,128",7.67,7.59,-2.59,1.55
New Jersey,NJ,07830,10,5,153,0,"9,817",1.56,0.00,-0.74,0.00
New Jersey,NJ,07832,10,7,"1,969",327,"34,363",5.73,16.61,-0.76,2.60
New Jersey,NJ,07834,178,71,"7,804",490,"185,089",4.22,6.28,-0.70,2.21
New Jersey,NJ,07836,21,9,930,77,"25,584",3.64,8.28,-1.03,2.26
New Jersey,NJ,07840,122,65,"11,910","1,134","213,772",5.57,9.52,0.12,2.34
New Jersey,NJ,07842,1,0,0,0,17,0.00,0.00,0.00,0.00
New Jersey,NJ,07843,1,0,0,0,21,0.00,0.00,-4.76,0.00
New Jersey,NJ,07847,1,0,0,0,168,0.00,0.00,,
New Jersey,NJ,07848,7,1,25,0,"5,106",0.49,0.00,0.49,0.00
New Jersey,NJ,07849,11,5,506,14,"14,858",3.41,2.77,-0.81,-5.47
New Jersey,NJ,07850,6,4,827,63,"18,808",4.40,7.62,-0.30,-0.26
New Jersey,NJ,07852,11,1,32,0,803,3.99,0.00,3.99,0.00
New Jersey,NJ,07853,10,2,95,0,"8,564",1.11,0.00,-0.76,0.00
New Jersey,NJ,07856,19,6,241,0,"22,373",1.08,0.00,-0.18,0.00
New Jersey,NJ,07857,3,1,52,0,"3,106",1.67,0.00,-2.09,0.00
New Jersey,NJ,07860,126,45,"3,994",36,"177,696",2.25,0.90,-0.62,0.12
New Jersey,NJ,07863,1,0,0,0,440,0.00,0.00,-3.56,0.00
New Jersey,NJ,07866,37,16,"2,002",32,"34,774",5.76,1.60,0.81,0.05
New Jersey,NJ,07869,90,27,"1,547",11,"53,038",2.92,0.71,-0.75,0.05
New Jersey,NJ,07871,75,34,"6,041",648,"93,661",6.45,10.73,-1.74,5.36
New Jersey,NJ,07874,3,1,116,28,425,27.29,24.14,27.29,24.14
New Jersey,NJ,07876,27,12,"1,765",102,"46,038",3.83,5.78,-0.28,-2.10
New Jersey,NJ,07882,25,8,"1,154",88,"44,491",2.59,7.63,-2.03,1.24
New Jersey,NJ,07885,9,3,"1,425",237,"15,554",9.16,16.63,-0.58,0.70
New Jersey,NJ,07901,284,86,"5,153",134,"172,945",2.98,2.60,-0.30,-0.31
New Jersey,NJ,07920,87,40,"3,405",227,"46,024",7.40,6.67,-0.93,-0.45
New Jersey,NJ,07921,22,9,551,0,"9,980",5.52,0.00,3.85,0.00
New Jersey,NJ,07922,186,79,"4,745",132,"218,021",2.18,2.78,-0.88,1.53
New Jersey,NJ,07924,16,5,325,0,"20,354",1.60,0.00,-0.62,0.00
New Jersey,NJ,07927,60,25,"5,126",648,"86,595",5.92,12.64,-1.59,-1.52
New Jersey,NJ,07928,50,21,"5,401",532,"26,670",20.25,9.85,6.56,3.43
New Jersey,NJ,07930,40,17,"2,960",389,"50,398",5.87,13.14,-1.03,5.02
New Jersey,NJ,07931,2,1,12,0,530,2.26,0.00,2.26,0.00
New Jersey,NJ,07932,122,36,"2,077",114,"94,354",2.20,5.49,0.36,1.34
New Jersey,NJ,07933,4,1,15,0,133,11.28,0.00,-4.51,0.00
New Jersey,NJ,07935,4,0,0,0,139,0.00,0.00,0.00,0.00
New Jersey,NJ,07936,23,7,481,0,"22,695",2.12,0.00,-0.26,0.00
New Jersey,NJ,07939,8,1,34,0,"1,088",3.13,0.00,-1.35,0.00
New Jersey,NJ,07940,31,5,163,0,"10,528",1.55,0.00,-1.07,0.00
New Jersey,NJ,07945,24,8,401,33,"50,019",0.80,8.23,-0.42,-0.18
New Jersey,NJ,07946,1,1,69,0,512,13.48,0.00,0.34,0.00
New Jersey,NJ,07950,57,10,806,17,"54,083",1.49,2.11,-0.21,-6.34
New Jersey,NJ,07960,706,277,"17,317",665,"476,089",3.64,3.84,0.08,1.43
New Jersey,NJ,07970,2,0,0,0,28,0.00,0.00,0.00,0.00
New Jersey,NJ,07974,27,5,421,0,"31,710",1.33,0.00,0.35,0.00
New Jersey,NJ,07977,3,1,20,0,"2,078",0.96,0.00,-0.51,0.00
New Jersey,NJ,07979,1,0,0,0,32,0.00,0.00,0.00,0.00
New Jersey,NJ,07980,8,3,227,12,"9,833",2.31,5.29,-0.76,0.25
New Jersey,NJ,07981,13,3,66,0,870,7.59,0.00,-7.37,0.00
New Jersey,NJ,08002,149,50,"5,674",191,"115,037",4.93,3.37,-1.40,1.04
New Jersey,NJ,08003,159,55,"6,956",880,"67,478",10.31,12.65,-2.25,4.76
New Jersey,NJ,08004,7,2,"1,828",295,"12,457",14.67,16.14,-2.49,8.03
New Jersey,NJ,08005,14,6,518,23,"21,308",2.43,4.44,0.28,4.44
New Jersey,NJ,08006,1,1,13,0,"1,006",1.29,0.00,,
New Jersey,NJ,08007,17,2,36,0,"2,911",1.24,0.00,-1.37,0.00
New Jersey,NJ,08008,18,8,"1,422",53,"51,918",2.74,3.73,0.30,2.67
New Jersey,NJ,08009,41,27,"7,031",513,"84,180",8.35,7.30,2.07,5.28
New Jersey,NJ,08010,2,1,56,0,"1,380",4.06,0.00,-1.29,0.00
New Jersey,NJ,08012,148,77,"13,456","1,222","208,541",6.45,9.08,0.84,4.23
New Jersey,NJ,08014,1,0,0,0,28,0.00,0.00,0.00,0.00
New Jersey,NJ,08015,73,17,"1,364",179,"53,119",2.57,13.12,0.21,5.52
New Jersey,NJ,08016,53,25,"7,482",467,"137,344",5.45,6.24,-0.71,2.99
New Jersey,NJ,08020,1,1,313,0,"6,545",4.78,0.00,0.96,0.00
New Jersey,NJ,08021,57,27,"7,023",418,"152,904",4.59,5.95,-1.81,0.77
New Jersey,NJ,08022,22,11,"1,326",68,"34,372",3.86,5.13,0.30,0.06
New Jersey,NJ,08026,18,9,848,29,"17,188",4.93,3.42,-0.27,1.44
New Jersey,NJ,08027,4,3,235,14,"8,641",2.72,5.96,-2.34,1.73
New Jersey,NJ,08028,23,13,"2,450",116,"47,442",5.16,4.73,0.24,0.44
New Jersey,NJ,08029,6,3,236,0,"12,212",1.93,0.00,-0.88,-3.89
New Jersey,NJ,08030,9,7,"2,332",95,"35,425",6.58,4.07,-0.53,0.75
New Jersey,NJ,08031,4,2,367,23,"7,184",5.11,6.27,-0.01,6.27
New Jersey,NJ,08033,57,20,"2,056",40,"63,244",3.25,1.95,-0.26,1.34
New Jersey,NJ,08034,245,82,"10,553",612,"368,837",2.86,5.80,-0.34,1.29
New Jersey,NJ,08035,101,32,"4,807",502,"138,797",3.46,10.44,1.09,8.22
New Jersey,NJ,08036,30,19,"6,719","1,301","49,264",13.64,19.36,9.60,18.24
New Jersey,NJ,08037,101,41,"18,860","2,155","171,139",11.02,11.43,4.63,4.62
New Jersey,NJ,08043,486,206,"24,529","1,367","483,373",5.07,5.57,-1.09,0.61
New Jersey,NJ,08045,2,1,49,0,202,24.26,0.00,-9.07,0.00
New Jersey,NJ,08046,104,45,"4,462",123,"121,813",3.66,2.76,-0.63,-0.26
New Jersey,NJ,08048,63,22,"2,917",121,"73,018",3.99,4.15,-5.17,3.23
New Jersey,NJ,08049,6,4,781,61,"9,383",8.32,7.81,-0.10,0.73
New Jersey,NJ,08050,141,71,"8,112",410,"232,458",3.49,5.05,-2.30,0.45
New Jersey,NJ,08051,2,0,0,0,59,0.00,0.00,0.00,0.00
New Jersey,NJ,08052,20,9,"1,026",35,"29,951",3.43,3.41,0.32,0.36
New Jersey,NJ,08053,302,127,"25,584","3,331","319,094",8.02,13.02,1.01,2.88
New Jersey,NJ,08054,177,77,"26,031","3,577","210,038",12.39,13.74,1.27,3.20
New Jersey,NJ,08055,106,34,"5,479",199,"127,918",4.28,3.63,-1.46,0.20
New Jersey,NJ,08056,4,4,223,0,"2,717",8.21,0.00,-0.17,-7.84
New Jersey,NJ,08057,176,75,"10,078",440,"275,457",3.66,4.37,0.67,-0.16
New Jersey,NJ,08059,4,2,50,0,469,10.66,0.00,-9.69,0.00
New Jersey,NJ,08060,115,62,"5,602",517,"86,268",6.49,9.23,-0.16,2.78
New Jersey,NJ,08062,35,9,700,0,"31,008",2.26,0.00,-2.34,0.00
New Jersey,NJ,08064,6,3,85,0,"22,376",0.38,0.00,-0.11,0.00
New Jersey,NJ,08065,5,2,"2,082",36,"30,008",6.94,1.73,1.14,-1.17
New Jersey,NJ,08066,12,3,342,0,"5,869",5.83,0.00,1.66,-2.49
New Jersey,NJ,08068,4,3,271,0,"9,487",2.86,0.00,-0.53,0.00
New Jersey,NJ,08069,13,5,563,0,"36,488",1.54,0.00,-1.34,-3.82
New Jersey,NJ,08070,26,14,"4,984",376,"71,178",7.00,7.54,0.50,4.58
New Jersey,NJ,08071,11,5,514,0,"16,688",3.08,0.00,0.36,-1.16
New Jersey,NJ,08074,1,0,0,0,62,0.00,0.00,-11.96,0.00
New Jersey,NJ,08075,32,14,"4,783",397,"65,537",7.30,8.30,1.24,-0.15
New Jersey,NJ,08077,36,12,"1,198",25,"32,566",3.68,2.09,-0.10,-0.53
New Jersey,NJ,08078,7,3,117,0,"7,392",1.58,0.00,-0.43,0.00
New Jersey,NJ,08079,37,17,"2,694",126,"74,382",3.62,4.68,-2.54,-0.72
New Jersey,NJ,08080,207,87,"13,123","2,089","216,072",6.07,15.92,-0.19,1.72
New Jersey,NJ,08081,47,25,"5,039",200,"114,530",4.40,3.97,-1.07,1.09
New Jersey,NJ,08083,20,3,697,0,"22,261",3.13,0.00,-0.81,-2.47
New Jersey,NJ,08084,244,103,"17,120","1,933","278,398",6.15,11.29,-0.31,3.26
New Jersey,NJ,08085,33,15,"1,093",23,"34,006",3.21,2.10,-0.35,2.10
New Jersey,NJ,08086,15,12,"5,395",670,"44,295",12.18,12.42,-3.30,4.53
New Jersey,NJ,08087,14,7,"2,349",114,"47,837",4.91,4.85,-1.79,1.41
New Jersey,NJ,08088,7,2,687,52,"16,327",4.21,7.57,-0.54,1.06
New Jersey,NJ,08089,1,1,"1,138",38,"20,721",5.49,3.34,0.58,-0.45
New Jersey,NJ,08090,10,5,608,17,"22,155",2.74,2.80,-2.11,-0.73
New Jersey,NJ,08091,5,2,29,0,193,15.03,0.00,-5.51,0.00
New Jersey,NJ,08092,2,0,0,0,210,0.00,0.00,-11.49,0.00
New Jersey,NJ,08093,2,1,454,20,"8,990",5.05,4.41,1.04,0.14
New Jersey,NJ,08094,26,15,"6,841",782,"48,149",14.21,11.43,2.19,1.65
New Jersey,NJ,08096,198,106,"12,801",548,"253,066",5.06,4.28,-0.36,0.52
New Jersey,NJ,08097,25,11,"2,681",72,"35,209",7.61,2.69,-0.35,-0.12
New Jersey,NJ,08098,12,4,450,0,"16,672",2.70,0.00,-2.06,-2.19
New Jersey,NJ,08102,12,5,"1,228",100,"32,096",3.83,8.14,-0.32,3.12
New Jersey,NJ,08103,533,272,"22,414","1,886","326,661",6.86,8.41,-1.73,2.61
New Jersey,NJ,08104,21,12,"2,059",0,"42,326",4.86,0.00,-1.48,0.00
New Jersey,NJ,08105,12,8,555,0,"32,045",1.73,0.00,-0.47,-1.15
New Jersey,NJ,08106,18,9,"1,126",22,"34,788",3.24,1.95,0.58,-0.64
New Jersey,NJ,08107,7,2,127,0,"5,181",2.45,0.00,-1.05,0.00
New Jersey,NJ,08108,51,13,"3,536",175,"76,343",4.63,4.95,0.27,3.06
New Jersey,NJ,08109,45,23,"3,826",208,"100,328",3.81,5.44,-0.37,3.42
New Jersey,NJ,08110,7,4,243,0,"11,878",2.05,0.00,-1.01,0.00
New Jersey,NJ,08201,13,4,909,31,"22,367",4.06,3.41,0.90,-1.38
New Jersey,NJ,08202,3,1,57,0,"4,677",1.22,0.00,-0.01,0.00
New Jersey,NJ,08203,26,13,"1,303",138,"25,856",5.04,10.59,-0.40,5.66
New Jersey,NJ,08204,38,14,"1,521",14,"45,528",3.34,0.92,-1.03,-1.79
New Jersey,NJ,08205,115,42,"13,739",945,"217,276",6.32,6.88,0.42,3.64
New Jersey,NJ,08210,121,60,"13,620","1,238","220,949",6.16,9.09,0.41,3.66
New Jersey,NJ,08215,6,4,"1,107",39,"30,637",3.61,3.52,-0.06,3.52
New Jersey,NJ,08221,75,34,"6,884",388,"110,739",6.22,5.64,-0.38,0.11
New Jersey,NJ,08223,24,18,"2,057",15,"45,805",4.49,0.73,-0.93,-2.32
New Jersey,NJ,08224,2,1,12,0,"3,902",0.31,0.00,-1.97,0.00
New Jersey,NJ,08225,77,42,"13,057","1,336","91,344",14.29,10.23,1.79,3.01
New Jersey,NJ,08226,23,10,"1,335",51,"44,403",3.01,3.82,-0.15,3.82
New Jersey,NJ,08230,5,3,179,0,"9,874",1.81,0.00,-1.33,0.00
New Jersey,NJ,08232,41,15,"2,602",320,"63,181",4.12,12.30,-2.09,7.61
New Jersey,NJ,08234,148,76,"14,350",415,"155,118",9.25,2.89,0.39,1.62
New Jersey,NJ,08240,30,7,561,14,"9,547",5.88,2.50,-8.19,0.64
New Jersey,NJ,08242,14,6,"1,325",54,"22,027",6.02,4.08,-2.33,-3.15
New Jersey,NJ,08243,4,2,54,19,"2,259",2.39,35.19,-0.38,14.74
New Jersey,NJ,08244,151,79,"5,577",56,"120,561",4.63,1.00,-0.91,0.14
New Jersey,NJ,08247,7,3,466,0,"16,937",2.75,0.00,-1.51,0.00
New Jersey,NJ,08251,5,2,"1,540",56,"27,751",5.55,3.64,0.63,2.52
New Jersey,NJ,08260,17,9,"1,129",33,"32,397",3.48,2.92,-0.53,0.21
New Jersey,NJ,08270,5,3,79,0,"4,977",1.59,0.00,-1.11,0.00
New Jersey,NJ,08302,78,35,"5,548",339,"197,601",2.81,6.11,-0.74,4.02
New Jersey,NJ,08312,3,1,54,0,"3,250",1.66,0.00,-5.98,-7.88
New Jersey,NJ,08317,2,1,"1,887",363,"3,237",58.29,19.24,58.29,19.24
New Jersey,NJ,08318,20,7,"1,182",105,"34,342",3.44,8.88,-1.36,0.02
New Jersey,NJ,08322,4,1,27,0,832,3.25,0.00,-2.06,0.00
New Jersey,NJ,08330,28,11,"1,088",13,"33,424",3.26,1.19,-1.06,-0.69
New Jersey,NJ,08332,42,16,"3,616",481,"99,432",3.64,13.30,0.80,11.25
New Jersey,NJ,08341,2,0,0,0,58,0.00,0.00,-6.82,-9.25
New Jersey,NJ,08343,1,1,46,0,64,71.88,0.00,,
New Jersey,NJ,08344,2,1,278,23,"4,231",6.57,8.27,-21.76,-10.55
New Jersey,NJ,08350,3,3,729,0,"21,097",3.46,0.00,-0.66,0.00
New Jersey,NJ,08353,2,1,316,0,"15,693",2.01,0.00,-1.00,-4.99
New Jersey,NJ,08360,253,144,"19,986","1,067","369,846",5.40,5.34,0.11,3.32
New Jersey,NJ,08361,47,14,"2,942",119,"96,396",3.05,4.04,-1.66,-0.77
New Jersey,NJ,08401,144,62,"3,831",200,"108,856",3.52,5.22,-0.82,3.86
New Jersey,NJ,08402,25,2,272,14,"18,880",1.44,5.15,-4.74,-0.44
New Jersey,NJ,08406,24,9,"2,554",119,"66,994",3.81,4.66,-0.62,3.62
New Jersey,NJ,08501,2,2,465,0,"12,209",3.81,0.00,-0.15,0.00
New Jersey,NJ,08502,19,5,608,63,"18,224",3.34,10.36,-0.07,6.38
New Jersey,NJ,08505,27,11,946,30,"21,330",4.44,3.17,-3.57,-6.00
New Jersey,NJ,08510,4,0,0,0,270,0.00,0.00,-5.95,0.00
New Jersey,NJ,08512,13,4,214,0,"6,251",3.42,0.00,1.55,0.00
New Jersey,NJ,08514,4,2,275,0,"8,816",3.12,0.00,0.23,0.00
New Jersey,NJ,08518,5,0,0,0,250,0.00,0.00,0.00,0.00
New Jersey,NJ,08520,54,20,"2,266",259,"46,072",4.92,11.43,0.38,1.01
New Jersey,NJ,08525,9,2,62,0,"1,639",3.78,0.00,-1.88,-12.25
New Jersey,NJ,08527,46,19,"4,249",370,"92,598",4.59,8.71,-0.85,1.33
New Jersey,NJ,08528,5,1,11,0,613,1.79,0.00,-3.37,0.00
New Jersey,NJ,08530,19,10,841,13,"23,290",3.61,1.55,-0.26,0.20
New Jersey,NJ,08533,4,1,20,0,"1,181",1.69,0.00,-2.44,0.00
New Jersey,NJ,08534,109,32,"4,088",365,"94,754",4.31,8.93,-2.18,-5.98
New Jersey,NJ,08535,5,3,88,0,"6,932",1.27,0.00,-0.35,0.00
New Jersey,NJ,08536,88,31,"2,976",272,"94,705",3.14,9.14,0.14,6.90
New Jersey,NJ,08540,334,116,"10,307",380,"329,545",3.13,3.69,-1.10,-2.36
New Jersey,NJ,08542,15,1,17,0,"10,107",0.17,0.00,-0.33,-27.66
New Jersey,NJ,08550,27,9,297,0,"19,145",1.55,0.00,-3.48,-6.57
