"Medicare Part D Opioid Prescribing Rates from Calendar Year 2016,",,,,,,,,,,,
by ZIP Code,,,,,,,,,,,
,,,,,,,,,,,
,,,Calendar Year 2016,,,,,,,Change in Opioid Prescribing Rates 2013 to 2016,
State Name,State Abbreviation,ZIP Code,Part D Prescribers,Part D Opioid Prescribers,Opioid Claims,Extended Release Opioid Claims,Overall Claims,Opioid Prescribing Rate,Extended Release Opioid Prescribing Rate,Change in Opioid Prescribing Rate,Change in Extended Release Opioid Prescribing Rate 
Alabama,AL,36877,3,2,122,0,"4,454",2.74,0.00,-0.59,0.00
Alabama,AL,36904,8,5,"4,876",141,"51,277",9.51,2.89,0.03,0.66
Alabama,AL,36908,2,2,759,0,"14,232",5.33,0.00,-0.68,0.00
Alabama,AL,36921,2,1,878,17,"22,952",3.83,1.94,-1.22,1.94
Alabama,AL,36925,5,4,"1,746",26,"17,981",9.71,1.49,3.71,0.72
Alaska,AK,99501,44,14,858,12,"31,705",2.71,1.40,0.30,-0.12
Alaska,AK,99502,14,2,89,0,"2,126",4.19,0.00,1.37,0.00
Alaska,AK,99503,123,49,"2,393",194,"61,047",3.92,8.11,-0.21,0.75
Alaska,AK,99504,24,9,344,21,"11,653",2.95,6.10,1.40,6.10
Alaska,AK,99505,3,1,17,0,684,2.49,0.00,-22.93,0.00
Alaska,AK,99506,38,15,784,33,"13,186",5.95,4.21,-8.96,-9.26
Alaska,AK,99507,52,15,504,0,"27,287",1.85,0.00,-1.81,-12.29
Alaska,AK,99508,903,386,"28,202","2,569","445,895",6.32,9.11,0.66,1.46
Alaska,AK,99515,31,13,963,57,"27,919",3.45,5.92,0.38,5.92
Alaska,AK,99516,7,4,81,0,793,10.21,0.00,-13.72,0.00
Alaska,AK,99517,3,0,0,0,271,0.00,0.00,-62.25,-27.84
Alaska,AK,99518,5,2,47,0,156,30.13,0.00,22.63,0.00
Alaska,AK,99519,1,0,0,0,20,0.00,0.00,0.00,0.00
Alaska,AK,99546,1,0,0,0,26,0.00,0.00,0.00,0.00
Alaska,AK,99556,1,0,0,0,30,0.00,0.00,0.00,0.00
Alaska,AK,99557,1,0,0,0,"1,282",0.00,0.00,-3.91,0.00
Alaska,AK,99559,44,13,"1,626",123,"23,321",6.97,7.56,1.82,3.75
Alaska,AK,99567,2,1,20,0,817,2.45,0.00,-19.19,-4.26
Alaska,AK,99571,1,0,0,0,30,0.00,0.00,,
Alaska,AK,99574,5,4,157,0,"2,143",7.33,0.00,2.82,0.00
